ISBN,goodreads_id,title,image,goodreads_link,publication_info,number_of_rattings,number_of_reviews,book_rate,number_of_5_stars_rating,number_of_4_stars_rating,number_of_3_stars_rating,number_of_2_stars_rating,number_of_1_stars_rating,author_name,author_link,author_no_of_books,author_followers,original_title,book_format,published,language,setting,all_contributors,number_of_editions,currently_reading,to_read,all_genres
9789777780179,38255193,برعاية دراكيولا,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1517320833i/38255193.jpg,https://www.goodreads.com/book/show/38255193,"First published January 27, 2018",78 ratings,13 reviews,3.88,22 (28%),32 (41%),17 (21%),7 (8%),0 (0%),سالي مجدي,https://www.goodreads.com/author/show/15072880._,11 ,124 followers,برعاية دراكيولا,"258 pages, Paperback","January 27, 2018",Arabic,,سالي مجدي,Show all 2 editions,3 people are currently reading,74 people want to read,
9786030261529,52102601-maqtal-tifil-jiddah,Maqtal Tifil Jiddah,https://d15be2nos83ntc.cloudfront.net/images/no-cover.png,https://www.goodreads.com/book/show/52102601-maqtal-tifil-jiddah,"Published January 1, 2018",0 ratings,0 reviews,0.0,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),Raid Yunus Al-Nabrawi,https://www.goodreads.com/author/show/19607541.Raid_Yunus_Al_Nabrawi,,,,"160 pages, Paperback","January 1, 2018 by Adab Book",,,Raid Yunus Al-Nabrawi,Show all editions,,,
9786144198513,108832382-al-ghajar,Al-Ghajar: Asyad Al-Hurriyah Al-Ghajariyah Al-Mutaʼalliqah,https://d15be2nos83ntc.cloudfront.net/images/no-cover.png,https://www.goodreads.com/book/show/108832382-al-ghajar,"Published January 1, 2018",0 ratings,0 reviews,0.0,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),Abd Allâh Al-Mâlikî,https://www.goodreads.com/author/show/26085281.Abd_All_h_Al_M_lik_,,,,"226 pages, Paperback","January 1, 2018 by Al-Muassassah Al-Arabiyah Lil-Dirasat Wa Al-Nashir",Arabic,,Abd Allâh Al-Mâlikî,Show all editions,,,
9789923131084,52399302,ولادة بلا رحم,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1564321320l/52399302.jpg,https://www.goodreads.com/book/show/52399302,"Published January 1, 2019",10 ratings,5 reviews,3.8,3 (30%),3 (30%),3 (30%),1 (10%),0 (0%),زهراء طالب,https://www.goodreads.com/author/show/18811123._,3 ,1 follower,,"170 pages, Paperback","January 1, 2019 by Alaan publishing ",Arabic,,زهراء طالب,Show all 2 editions,1 person is currently reading,5 people want to read,
9789953931043,37637448,خريف لا ينتهي,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1513751370i/37637448.jpg,https://www.goodreads.com/book/show/37637448,"First published March 14, 2018",8 ratings,3 reviews,3.5,3 (37%),0 (0%),4 (50%),0 (0%),1 (12%),عادل المالكي,https://www.goodreads.com/author/show/15056395._,3 ,16 followers,خريف لا ينتهي,"206 pages, Paperback","March 14, 2018 by مؤسسة الانتشار العربي",Arabic,,عادل المالكي,Show all editions,1 person is currently reading,32 people want to read,
9786140124752,39353498,كن حذرًا عندما تتمنى,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1521805979i/39353498.jpg,https://www.goodreads.com/book/show/39353498,"First published March 11, 2014","36,889 ratings","2,239 reviews",4.11,"13,563 (36%)","15,487 (41%)","6,516 (17%)","1,019 (2%)",304 (<1%),Jeffrey Archer,https://www.goodreads.com/author/show/4820.Jeffrey_Archer,463 ,10.4k followers,Be Careful What You Wish For,"438 pages, Paperback","March 14, 2018 by الدار العربية للعلوم ناشرون",Arabic,"London, England (United Kingdom, 1957), England (, 1957)",Jeffrey Archer,Show all 79 editions,"3,104 people are currently reading",13.5k people want to read,"Fiction,Historical Fiction,Mystery,Audiobook,Historical,Thriller,Drama"
9789777780612,24711595,في حضرة الجان,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439907526i/24711595.jpg,https://www.goodreads.com/book/show/24711595,"First published January 1, 2015","2,256 ratings",251 reviews,3.04,283 (12%),441 (19%),821 (36%),494 (21%),217 (9%),حسن الجندي,https://www.goodreads.com/author/show/3279601._,23 ,"6,703 followers",,"117 pages, Paperback","January 1, 2015 by دار اكتب للنشر والتوزيع",,,حسن الجندي,Show all 5 editions,64 people are currently reading,"1,700 people want to read","Horror,Novels,Literature,Fiction,Audiobook,Short Stories"
9789953688350,35883728,آخر أحلام كليوباترا,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1501516873i/35883728.jpg,https://www.goodreads.com/book/show/35883728,"First published October 11, 2012",527 ratings,70 reviews,3.34,78 (14%),160 (30%),184 (34%),72 (13%),33 (6%),Christian Jacq,https://www.goodreads.com/author/show/31855.Christian_Jacq,304 ,809 followers,Le Dernier Rêve de Cléopâtre,"384 pages, Paperback","January 1, 2016 by المركز الثقافي العربي",Arabic,,Christian Jacq,Show all 18 editions,41 people are currently reading,572 people want to read,"Historical Fiction,Egypt,Historical"
9789933540395,36587594,الكناعيص,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1510579975i/36587594.jpg,https://www.goodreads.com/book/show/36587594,"Published January 1, 2018",30 ratings,9 reviews,3.6,7 (23%),9 (30%),10 (33%),3 (10%),1 (3%),خليفة الخضر,https://www.goodreads.com/author/show/17324626._,,,,"152 pages, Paperback","January 1, 2018 by دار ممدوح عدوان للنشر والتوزيع",Arabic,,خليفة الخضر,Show all editions,5 people are currently reading,69 people want to read,
9789933592554,50540887,غارغانتوا,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1579433390i/50540887.jpg,https://www.goodreads.com/book/show/50540887,"First published January 1, 1534","3,735 ratings",151 reviews,3.35,774 (20%),"1,010 (27%)","1,033 (27%)",582 (15%),336 (8%),François Rabelais,https://www.goodreads.com/author/show/11029.Fran_ois_Rabelais,401 ,382 followers,"Gargantua: La vie très horrifique du grand Gargantua, père de Pantagruel","223 pages, Paperback","September 16, 2019 by دار الحوار للنشر والتوزيع",Arabic,,"François Rabelais,فرانسوا رابليه,عدنان محمد (المترجم)",Show all 213 editions,113 people are currently reading,"1,717 people want to read","Classics,France,Fiction,School,French Literature,Roman,16th Century"
9789775154873,32867098,ملاك,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478205951i/32867098.jpg,https://www.goodreads.com/book/show/32867098,"Published January 1, 2016",9 ratings,0 reviews,2.11,1 (11%),1 (11%),0 (0%),3 (33%),4 (44%),كرم صابر,https://www.goodreads.com/author/show/7575464._,11 ,10 followers,ملاك,"128 pages, Paperback","January 1, 2016 by دار صفصافة للنشر والتوزيع والدراسات. الجيزة",Arabic,,كرم صابر,Show all editions,,8 people want to read,
9789953876177,57681591-the-french-lieutenant-s-woman,The French Lieutenant's Woman,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618028455i/57681591.jpg,https://www.goodreads.com/book/show/57681591-the-french-lieutenant-s-woman,"First published November 10, 1969","50,979 ratings","1,963 reviews",3.88,"14,964 (29%)","19,824 (38%)","12,146 (23%)","3,036 (5%)","1,009 (1%)",John Fowles,https://www.goodreads.com/author/show/10039.John_Fowles,90 ,"2,388 followers",The French Lieutenant's Woman,Paperback,"February 18, 2009",,"Lyme Regis, England (, 1867), Exeter, Devon, England, London, England (United Kingdom)",John Fowles,Show all 192 editions,"1,057 people are currently reading",35.6k people want to read,"Fiction,Classics,Historical Fiction,Romance,Literature,Historical,British Literature"
9789770925369,24331097,لا تسقنى وحدى,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1490379937i/24331097.jpg,https://www.goodreads.com/book/show/24331097,"First published January 1, 1985",496 ratings,95 reviews,3.31,63 (12%),147 (29%),190 (38%),71 (14%),25 (5%),سعد مكاوي,https://www.goodreads.com/author/show/2736027._,26 ,480 followers,لا تسقني وحدي,"98 pages, Paperback","January 1, 2009 by دار الشروق",Arabic,Egypt,سعد مكاوي,Show all 5 editions,22 people are currently reading,908 people want to read,"Novels,Literature,Fiction"
9789948012405,13160300,في الليل كلنا شعراء سود,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1323138990i/13160300.jpg,https://www.goodreads.com/book/show/13160300,"First published January 1, 2009",37 ratings,11 reviews,3.32,2 (5%),13 (35%),18 (48%),3 (8%),1 (2%),E. Ethelbert Miller,https://www.goodreads.com/author/show/31329.E_Ethelbert_Miller,30 ,16 followers,,"154 pages, Paperback","January 1, 2009 by هيئة أبوظبي للثقافة والتراث - كلمة ",,,"E. Ethelbert Miller,وصال العلاق (translator)",Show all editions,1 person is currently reading,61 people want to read,Poetry
9786038232507,52102605-mashru-faris,Mashru Faris,https://d15be2nos83ntc.cloudfront.net/images/no-cover.png,https://www.goodreads.com/book/show/52102605-mashru-faris,"Published January 1, 2018",0 ratings,0 reviews,0.0,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),Ibrahim Uwaydah Al-Biladi,https://www.goodreads.com/author/show/19607542.Ibrahim_Uwaydah_Al_Biladi,,,,"183 pages, Paperback","January 1, 2018 by Adab Book",,,Ibrahim Uwaydah Al-Biladi,Show all editions,,,
9789777951500,42762160--,ألف ليلة وليلة - الجزء الأول,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546604269i/42762160.jpg,https://www.goodreads.com/book/show/42762160--,"Published January 1, 2018",33 ratings,6 reviews,4.03,13 (39%),13 (39%),4 (12%),1 (3%),2 (6%),Anonymous,https://www.goodreads.com/author/show/5158478.Anonymous,382k ,"2,964 followers",,,"January 1, 2018 by الدار المصرية اللبنانية",Arabic,,Anonymous,Show all 3 editions,40 people are currently reading,112 people want to read,
9782843091889,39326297,بارتلبي وأصحابه,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1521506428i/39326297.jpg,https://www.goodreads.com/book/show/39326297,"First published January 1, 2000","4,174 ratings",466 reviews,3.95,"1,343 (32%)","1,629 (39%)",897 (21%),242 (5%),63 (1%),Enrique Vila-Matas,https://www.goodreads.com/author/show/25591.Enrique_Vila_Matas,138 ,814 followers,Bartleby y compañía,"228 pages, Paperback","January 1, 2018 by المدى للإعلام والثقافة والفنون",Arabic,,"Enrique Vila-Matas,أنريكه بيلا-ماتاس,عبد الهادي سعدون (ترجمة)",Show all 65 editions,153 people are currently reading,"6,942 people want to read","Fiction,Spanish Literature,Spain,Literature,Novels,Contemporary,21st Century"
9783899303421,9077536,العودة إلى مكان مضاء بكوب حليب,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411961817i/9077536.jpg,https://www.goodreads.com/book/show/9077536,"First published March 1, 1974",278 ratings,46 reviews,3.4,48 (17%),76 (27%),106 (38%),35 (12%),13 (4%),Charles Simic,https://www.goodreads.com/author/show/25415.Charles_Simic,184 ,422 followers,Return to a Place Lit by a Glass of Milk,"206 pages, Paperback","January 1, 2009 by منشورات الجمل، كلمة ",Arabic,,"Charles Simic,سامر أبو هواش (ترجمة),تشارلز سيميك",Show all 4 editions,4 people are currently reading,342 people want to read,Poetry
9789953896458,43983965,خسوف بدر الدين,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1551468171i/43983965.jpg,https://www.goodreads.com/book/show/43983965,"First published December 1, 2018",54 ratings,15 reviews,4.0,18 (33%),23 (42%),8 (14%),5 (9%),0 (0%),باسم خندقجي,https://www.goodreads.com/author/show/6579715._,7 ,52 followers,خسوف بدر الدين,"327 pages, Paperback","December 1, 2018 by دار الآداب",Arabic,,باسم خندقجي,Show all editions,3 people are currently reading,110 people want to read,
9789953717487,34634830-1,"الإخوة كارامازوف , #1",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1490014882i/34634830.jpg,https://www.goodreads.com/book/show/34634830-1,"First published January 1, 1879","6,241 ratings",638 reviews,4.31,"3,268 (52%)","2,004 (32%)",721 (11%),154 (2%),94 (1%),Fyodor Dostoevsky,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoevsky,"2,978 ",46.1k followers,Бра́тья Карама́зовы,"614 pages, Paperback","January 1, 2016 by دار الفارابي",Arabic,,"Fyodor Dostoevsky,فيودور دوستويفسكي,فارس غصوب (ترجمة)",Show all 162 editions,915 people are currently reading,11.9k people want to read,"Classics,Fiction,Novels,Russian Literature,Russia,Literature,Philosophy"
9789777362092,38347955,أرسين لوبين: الشبح القاتل,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1517769318i/38347955.jpg,https://www.goodreads.com/book/show/38347955,"Published January 1, 2017",15 ratings,5 reviews,3.0,2 (13%),2 (13%),7 (46%),2 (13%),2 (13%),Maurice Leblanc,https://www.goodreads.com/author/show/1569298.Maurice_Leblanc,"1,826 ",695 followers,,"224 pages, Paperback","January 1, 2017 by الدار الذهبية",Arabic,,Maurice Leblanc,Show all 2 editions,2 people are currently reading,21 people want to read,
9789776549531,38258860,الكونت: بقواعدي سنلعب,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1517334849i/38258860.jpg,https://www.goodreads.com/book/show/38258860,"First published January 1, 2018",324 ratings,65 reviews,3.86,95 (29%),129 (39%),72 (22%),15 (4%),13 (4%),عبد الرحمن جاويش,https://www.goodreads.com/author/show/10902755._,5 ,191 followers,الكونت: بقواعدي سنلعب,"263 pages, Paperback","January 1, 2018 by دار تويا للنشر والتوزيع",Arabic,,عبد الرحمن جاويش,Show all editions,13 people are currently reading,331 people want to read,Audiobook
9789775153036,12859425,نيكروفيليا,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1318435255i/12859425.jpg,https://www.goodreads.com/book/show/12859425,"First published January 1, 2011","9,272 ratings","1,496 reviews",2.8,983 (10%),"1,695 (18%)","2,725 (29%)","2,242 (24%)","1,627 (17%)",شيرين هنائي,https://www.goodreads.com/author/show/5834109._,65 ,"4,294 followers",نيكروفيليا,"133 pages, Paperback","January 1, 2011 by الرواق للنشر و التوزيع ",Arabic,,شيرين هنائي,Show all 6 editions,185 people are currently reading,"5,973 people want to read","Novels,Horror,Psychology,Fiction,Literature,Mystery,Psychological Horror"
9789948446033,10794886,توترات القبطي,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1300194105i/10794886.jpg,https://www.goodreads.com/book/show/10794886,"First published January 1, 2009",79 ratings,15 reviews,3.42,11 (13%),31 (39%),23 (29%),8 (10%),6 (7%),Amir Tag Elsir,https://www.goodreads.com/author/show/6577616.Amir_Tag_Elsir,32 ,281 followers,,"286 pages, Paperback","January 1, 2009 by  ثقافة للنشر والتوزيع",Arabic,,"Amir Tag Elsir,أمير تاج السر",Show all 4 editions,5 people are currently reading,259 people want to read,
9786140119482,108826198--,دموع حمراء - الجزء الأول,https://d15be2nos83ntc.cloudfront.net/images/no-cover.png,https://www.goodreads.com/book/show/108826198--,,0 ratings,0 reviews,0.0,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),unknown author,https://www.goodreads.com/author/show/22294257.unknown_author,3m ,9 followers,,Hardcover,الدار العربية للعلوم ناشرون,Arabic,,unknown author,Show all editions,,,
9782843091681,49641283,الريش,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1607394110i/49641283.jpg,https://www.goodreads.com/book/show/49641283,"First published January 1, 2018",2 ratings,1 review,3.0,0 (0%),1 (50%),0 (0%),1 (50%),0 (0%),سليم بركات,https://www.goodreads.com/author/show/3125816._,70 ,240 followers,,"273 pages, Paperback","January 1, 2018 by دار المدى",Arabic,,سليم بركات,Show all editions,,8 people want to read,
9789777950633,31076316,بريدج,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1468351457i/31076316.jpg,https://www.goodreads.com/book/show/31076316,"Published July 10, 2016",150 ratings,37 reviews,4.25,70 (46%),58 (38%),15 (10%),4 (2%),3 (2%),تامر شيخون,https://www.goodreads.com/author/show/7009292._,4 ,32 followers,بريدچ,"587 pages, Paperback","July 10, 2016 by الدار المصرية اللبنانية",Arabic,,تامر شيخون,Show all 3 editions,5 people are currently reading,135 people want to read,
9786144328408,52021026,ملاذي,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1583183391i/52021026.jpg,https://www.goodreads.com/book/show/52021026,"First published February 1, 2018",4 ratings,0 reviews,4.0,2 (50%),1 (25%),0 (0%),1 (25%),0 (0%),أنفال الجبوري,https://www.goodreads.com/author/show/15960733._,2 ,4 followers,ملاذي,"192 pages, Paperback","February 1, 2018 by دار الفارابي",Arabic,,أنفال الجبوري,Show all editions,1 person is currently reading,6 people want to read,
9953381135,13503712,سر المنبهات السبعة,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1330444583i/13503712.jpg,https://www.goodreads.com/book/show/13503712,"First published January 24, 1929","24,040 ratings","1,675 reviews",3.8,"6,067 (25%)","9,209 (38%)","6,946 (28%)","1,546 (6%)",272 (1%),Agatha Christie,https://www.goodreads.com/author/show/123715.Agatha_Christie,"3,749 ",57.6k followers,The Seven Dials Mystery,"176 pages, Paperback","January 1, 2000 by ميوزيك للصحافة والنشر",Arabic,,Agatha Christie,Show all 220 editions,855 people are currently reading,10.2k people want to read,"Mystery,Fiction,Crime,Classics,Mystery Thriller,Detective,Thriller"
9789948013341,8111261,أيرلندا الأم,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1272615396i/8111261.jpg,https://www.goodreads.com/book/show/8111261,"First published January 1, 1976",271 ratings,36 reviews,3.57,50 (18%),100 (36%),87 (32%),22 (8%),12 (4%),Edna O'Brien,https://www.goodreads.com/author/show/7184.Edna_O_Brien,99 ,"1,024 followers",Mother Ireland: A Memoir,"184 pages, Hardcover","January 1, 2009 by هيئة أبوظبي للثقافة والتراث",,,"Edna O'Brien,أسامة منزلجي (ترجمة)",Show all 10 editions,7 people are currently reading,732 people want to read,"Ireland,Memoir,Nonfiction,Irish Literature,Biography Memoir,Essays,Biography"
9789921740639,57108564,روح أبي تصعد في المطر,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1613581901i/57108564.jpg,https://www.goodreads.com/book/show/57108564,"First published May 1, 2011",939 ratings,157 reviews,3.45,137 (14%),320 (34%),334 (35%),121 (12%),27 (2%),Patricio Pron,https://www.goodreads.com/author/show/1239491.Patricio_Pron,42 ,163 followers,El espíritu de mis padres sigue subiendo en la lluvia,"212 pages, Paperback","February 1, 2021 by منشورات ذات السلاسل-الكويت",Arabic,,"Patricio Pron,أحمد عبد اللطيف (ترجمة)",Show all 39 editions,86 people are currently reading,"1,210 people want to read","Fiction,Contemporary,Historical Fiction,Latin American,Spanish Literature,Novels,Drama"
9786148014178,34664230,جسر التنهدات,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1490209848i/34664230.jpg,https://www.goodreads.com/book/show/34664230,"First published January 1, 1907",673 ratings,31 reviews,4.33,362 (53%),211 (31%),68 (10%),22 (3%),10 (1%),Michel Zévaco,https://www.goodreads.com/author/show/5503443.Michel_Z_vaco,246 ,123 followers,L’Épopée d’amour,"351 pages, Paperback","January 1, 2016 by دار الحرف العربي",Arabic,,Michel Zévaco,Show all 60 editions,24 people are currently reading,370 people want to read,"Fiction,Classics,Historical Fiction,French Literature,Novels,Adventure,Roman"
9789953688800,43453017,الضفيرة,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1599408941i/43453017.jpg,https://www.goodreads.com/book/show/43453017,"First published May 10, 2017","28,541 ratings","3,117 reviews",3.95,"9,201 (32%)","11,066 (38%)","6,343 (22%)","1,557 (5%)",374 (1%),Laetitia Colombani,https://www.goodreads.com/author/show/8751441.Laetitia_Colombani,12 ,337 followers,La Tresse,"222 pages, Paperback","January 1, 2018 by المركز الثقافي العربي",Arabic,,"Laetitia Colombani,لتيسيا كولومباني,معن عاقل (Translator)",Show all 105 editions,992 people are currently reading,14.8k people want to read,"Fiction,France,Contemporary,Roman,Feminism,Novels,French Literature"
9789778200898,58554222,فضائي,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1626267451i/58554222.jpg,https://www.goodreads.com/book/show/58554222,"First published January 1, 1979","19,662 ratings",677 reviews,4.09,"7,852 (39%)","6,949 (35%)","3,883 (19%)",754 (3%),224 (1%),Alan Dean Foster,https://www.goodreads.com/author/show/11735.Alan_Dean_Foster,377 ,"1,747 followers",Alien,"304 pages, Paperback","June 30, 2021 by كيان للنشر والتوزيع",Arabic,,"Alan Dean Foster,محمد عصمت (مترجم)",Show all 76 editions,391 people are currently reading,10k people want to read,"Science Fiction,Horror,Fiction,Aliens,Thriller,Audiobook,Science Fiction Fantasy"
9789938941319,50844024,نداء البراري,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1568809397l/50844024.jpg,https://www.goodreads.com/book/show/50844024,"First published January 1, 1903","400,451 ratings","13,946 reviews",3.9,"128,099 (31%)","145,075 (36%)","93,799 (23%)","24,094 (6%)","9,384 (2%)",Jack London,https://www.goodreads.com/author/show/1240.Jack_London,"6,983 ","6,316 followers",The Call of the Wild,"143 pages, Paperback","September 1, 2019 by دار التنوير",Arabic,"Alaska (United States), Yukon Territory (Canada), Canada, The United States of America, Klondike, Yukon Territory (Canada)","Jack London,جاك لندن,مها محمود صالح (Translator)",Show all 8264 editions,16.7k people are currently reading,150k people want to read,"Classics,Fiction,Adventure,Young Adult,Animals,Historical Fiction,Literature"
9789777780629,31192844,غفوة,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1469148497i/31192844.jpg,https://www.goodreads.com/book/show/31192844,"Published July 21, 2016",94 ratings,19 reviews,3.31,13 (13%),28 (29%),35 (37%),11 (11%),7 (7%),Wael Lasheen - وائل لاشين,https://www.goodreads.com/author/show/14344314.Wael_Lasheen_,4 ,129 followers,,"170 pages, Paperback","July 21, 2016 by دار نون",Arabic,,Wael Lasheen - وائل لاشين,Show all 2 editions,2 people are currently reading,114 people want to read,
9789198700985,60774324,مسيح الخلافة,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1649434937i/60774324.jpg,https://www.goodreads.com/book/show/60774324,"First published April 6, 2022",0 ratings,0 reviews,0.0,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),أنور السباعي,https://www.goodreads.com/author/show/17505965._,4 ,22 followers,,Paperback,"April 6, 2022 by Sameh Publishing",Arabic,,أنور السباعي,Show all editions,,,
9789953895345,32939053,ماء وملح,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478800080i/32939053.jpg,https://www.goodreads.com/book/show/32939053,"First published October 26, 2016",28 ratings,7 reviews,4.07,12 (42%),11 (39%),2 (7%),1 (3%),2 (7%),سارة النمس,https://www.goodreads.com/author/show/13994299._,4 ,14 followers,ماء وملح (رسائل إلى أسير فلسطيني),"247 pages, Paperback","October 26, 2016 by aldab",Arabic,,سارة النمس,Show all 3 editions,7 people are currently reading,103 people want to read,
9789770924939,7043272,إبراهيم الكاتب,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1256447985i/7043272.jpg,https://www.goodreads.com/book/show/7043272,"First published January 1, 1931",151 ratings,26 reviews,3.26,29 (19%),31 (20%),49 (32%),35 (23%),7 (4%),إبراهيم عبد القادر المازني,https://www.goodreads.com/author/show/2552766._,58 ,484 followers,إبراهيم الكاتب,378 pages,"January 1, 2009 by دار الشروق",Arabic,,إبراهيم عبد القادر المازني,Show all 10 editions,7 people are currently reading,232 people want to read,"Novels,Fiction,Literature"
9789957178222,52214877,دمعة ذئب,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1566299448l/52214877.jpg,https://www.goodreads.com/book/show/52214877,"Published April 6, 2019",17 ratings,8 reviews,4.24,8 (47%),5 (29%),4 (23%),0 (0%),0 (0%),ميمونة الشيشاني,https://www.goodreads.com/author/show/19488779._,,,,"518 pages, Paperback","April 6, 2019 by اكيول",Arabic,,ميمونة الشيشاني,Show all editions,2 people are currently reading,33 people want to read,
9789953896427,43835524-2,نجمة البحر أولاد الغيتو 2,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1549302873i/43835524.jpg,https://www.goodreads.com/book/show/43835524-2,"Published December 1, 2018",12 ratings,2 reviews,4.17,5 (41%),4 (33%),3 (25%),0 (0%),0 (0%),الياس خوري,https://www.goodreads.com/author/show/17116334._,13 ,12 followers,,"476 pages, Paperback","December 1, 2018",,,الياس خوري,Show all editions,,19 people want to read,
9775083761,6083055,العيون الحمراء,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1231507514i/6083055.jpg,https://www.goodreads.com/book/show/6083055,"First published January 1, 2005",329 ratings,39 reviews,4.11,137 (41%),115 (34%),58 (17%),15 (4%),4 (1%),عبد الوهاب مطاوع,https://www.goodreads.com/author/show/3173836._,61 ,"4,347 followers",العيون الحمراء,237 pages,"January 1, 2005 by الدار المصرية اللبنانية",Arabic,,عبد الوهاب مطاوع,Show all editions,8 people are currently reading,474 people want to read,Social
9781773225296,38928503,الثعبان والزنبقة,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1520180518i/38928503.jpg,https://www.goodreads.com/book/show/38928503,"First published January 1, 1906",684 ratings,85 reviews,3.52,160 (23%),197 (28%),205 (29%),86 (12%),36 (5%),Nikos Kazantzakis,https://www.goodreads.com/author/show/5668.Nikos_Kazantzakis,139 ,"3,595 followers",Όφις και κρίνο,"115 pages, Paperback","January 1, 2018 by دار الرافدين للطباعة والنشر والتوزيع",Arabic,,"Nikos Kazantzakis,نيكوس كازانتزاكيس,سهيل نجم (ترجمة)",Show all 18 editions,24 people are currently reading,705 people want to read,"Fiction,Classics,Literature,Romance,Philosophy,Audiobook,Greece"
9789777514231,55782851,ميشيما الساموراي,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1603674435i/55782851.jpg,https://www.goodreads.com/book/show/55782851,"First published January 1, 2018",4 ratings,0 reviews,3.75,2 (50%),0 (0%),1 (25%),1 (25%),0 (0%),حجاج أدول,https://www.goodreads.com/author/show/5899859._,47 ,131 followers,ميشيما الساموراي,"262 pages, Paperback","July 11, 2019 by روافد للنشروالتوزيع",Arabic,,"حجاج أدول,Haggag Hassan Oddoul",Show all editions,,8 people want to read,
9789953891347,37842269,المصابيح الزرق,https://d15be2nos83ntc.cloudfront.net/images/no-cover.png,https://www.goodreads.com/book/show/37842269,"Published January 1, 2008",506 ratings,53 reviews,3.72,111 (21%),207 (40%),135 (26%),40 (7%),13 (2%),Hanna Mina,https://www.goodreads.com/author/show/16610757.Hanna_Mina,51 ,301 followers,المصابيح الزرق ,"371 pages, Paperback","January 1, 2008 by دار الآداب",Arabic,,Hanna Mina,Show all 4 editions,41 people are currently reading,712 people want to read,"Novels,Literature"
9789776376908,30738859,أن تبقى,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1466705602i/30738859.jpg,https://www.goodreads.com/book/show/30738859,"Published July 6, 2016","10,037 ratings","1,131 reviews",3.88,"3,073 (30%)","3,845 (38%)","2,236 (22%)",619 (6%),264 (2%),خولة حمدي,https://www.goodreads.com/author/show/6447490._,8 ,14.2k followers,أن تبقى,"383 pages, Paperback","July 6, 2016 by كيان للنشر والتوزيع",Arabic,,خولة حمدي,Show all 3 editions,"1,037 people are currently reading",10.9k people want to read,"Novels,Fiction,Literature,Romance,Politics"
